Product Name,Price,Color,Product Link,Image Link
Microfibre vest top,Rs.799.00,Light greige,https://www2.hm.com/en_in/productpage.1216160001.html,"https://lp2.hm.com/hmgoepprod?set=source[/81/80/818092f64614b138498ffa71ad9876a157e497ac.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Ribbed vest top,Rs.799.00,Black,https://www2.hm.com/en_in/productpage.1209456001.html,"https://lp2.hm.com/hmgoepprod?set=source[/e2/71/e27179afbff4be2e64d75271f29ea24a78c47620.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Seamless soft bra,Rs.999.00,White,https://www2.hm.com/en_in/productpage.1219405002.html,"https://lp2.hm.com/hmgoepprod?set=source[/7a/6a/7a6a7c659bc0365908a9cdac271c729c1fd1e70d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Twill column skirt,"Rs.1,499.00",Black,https://www2.hm.com/en_in/productpage.1219673002.html,"https://lp2.hm.com/hmgoepprod?set=source[/92/11/9211404ac8027ef6f6340ef0549006813ac50cc0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Coated jacket,"Rs.3,999.00",Dark brown,https://www2.hm.com/en_in/productpage.1200833002.html,"https://lp2.hm.com/hmgoepprod?set=source[/c2/aa/c2aa1b79e789f6e309a9e1e8edb4d700d8ecb09b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen-blend trousers,"Rs.2,299.00",Cream,https://www2.hm.com/en_in/productpage.1218588001.html,"https://lp2.hm.com/hmgoepprod?set=source[/fb/85/fb85be6a2d749fe497f6be662f994f19a945a4c1.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Pleated skirt,"Rs.2,699.00",Light beige,https://www2.hm.com/en_in/productpage.0998124011.html,"https://lp2.hm.com/hmgoepprod?set=source[/46/72/46729e8795444dfe33027737add5f61460c580e0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
10-pack cotton thong briefs,"Rs.1,499.00",Light purple/White/Beige,https://www2.hm.com/en_in/productpage.1084217011.html,"https://lp2.hm.com/hmgoepprod?set=source[/b2/0e/b20e6b146d0e6c5ed47ba20058356f23f151b893.jpg],origin[dam],category[ladies_lingerie_briefsknickers_multipack],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
MAMA Before & After linen-blend shirt,"Rs.2,299.00",Khaki green,https://www2.hm.com/en_in/productpage.1209805001.html,"https://lp2.hm.com/hmgoepprod?set=source[/01/f2/01f25cae723d2e5214f140e5f4ddd36ee081d84c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Shoulder bag and pouch,"Rs.1,999.00",Beige,https://www2.hm.com/en_in/productpage.0916750037.html,"https://lp2.hm.com/hmgoepprod?set=source[/2c/b6/2cb66851a7bfeb3e1894023afbd55fe72fb4072f.jpg],origin[dam],category[ladies_accessories_bags_shouldercrossbags],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
